,id,from,at,to,open,close,min,max,volume
2021-07-27 19:39:00,1339103.0,1627414740.0,1.627414800000697e+18,1627414800.0,1.269,1.26894,1.26894,1.269,21.0
2021-07-27 19:40:00,1339104.0,1627414800.0,1.6274148600000827e+18,1627414860.0,1.26894,1.26901,1.26893,1.26901,26.0
2021-07-27 19:41:00,1339105.0,1627414860.0,1.6274149200016888e+18,1627414920.0,1.26901,1.26895,1.26895,1.26901,21.0
2021-07-27 19:42:00,1339106.0,1627414920.0,1.6274149800067315e+18,1627414980.0,1.26895,1.26882,1.26876,1.26895,50.0
2021-07-27 19:43:00,1339107.0,1627414980.0,1.6274150400000476e+18,1627415040.0,1.26883,1.26891,1.26882,1.26892,21.0
2021-07-27 19:44:00,1339108.0,1627415040.0,1.6274151000004677e+18,1627415100.0,1.26892,1.2691,1.26891,1.2691,18.0
2021-07-27 19:45:00,1339109.0,1627415100.0,1.6274151600028575e+18,1627415160.0,1.26911,1.2692,1.26905,1.26923,44.0
2021-07-27 19:46:00,1339110.0,1627415160.0,1.627415220007671e+18,1627415220.0,1.2692,1.26931,1.26919,1.26931,26.0
2021-07-27 19:47:00,1339111.0,1627415220.0,1.6274152800010714e+18,1627415280.0,1.26931,1.26932,1.26927,1.26933,20.0
2021-07-27 19:48:00,1339112.0,1627415280.0,1.6274153400068605e+18,1627415340.0,1.26931,1.26946,1.26931,1.26946,23.0
2021-07-27 19:49:00,1339113.0,1627415340.0,1.6274154000002836e+18,1627415400.0,1.26946,1.26941,1.26941,1.26952,9.0
2021-07-27 19:50:00,1339114.0,1627415400.0,1.6274154600025e+18,1627415460.0,1.26943,1.26947,1.26943,1.26951,42.0
2021-07-27 19:51:00,1339115.0,1627415460.0,1.6274155200001613e+18,1627415520.0,1.26946,1.26945,1.26939,1.26951,26.0
2021-07-27 19:52:00,1339116.0,1627415520.0,1.6274155800005094e+18,1627415580.0,1.26945,1.26941,1.26941,1.26947,28.0
2021-07-27 19:53:00,1339117.0,1627415580.0,1.6274156400021338e+18,1627415640.0,1.26941,1.26943,1.26941,1.26943,13.0
2021-07-27 19:54:00,1339118.0,1627415640.0,1.6274157000000294e+18,1627415700.0,1.26943,1.26943,1.26941,1.26948,25.0
2021-07-27 19:55:00,1339119.0,1627415700.0,1.6274157600002913e+18,1627415760.0,1.26944,1.26945,1.26935,1.26947,57.0
2021-07-27 19:56:00,1339120.0,1627415760.0,1.6274158200004646e+18,1627415820.0,1.26943,1.26947,1.26943,1.26959,47.0
2021-07-27 19:57:00,1339121.0,1627415820.0,1.6274158800013522e+18,1627415880.0,1.26939,1.26946,1.26939,1.2695,49.0
2021-07-27 19:58:00,1339122.0,1627415880.0,1.6274159400016366e+18,1627415940.0,1.26943,1.26941,1.26937,1.26946,65.0
2021-07-27 19:59:00,1339123.0,1627415940.0,1.6274160000016858e+18,1627416000.0,1.26941,1.26935,1.26931,1.26948,87.0
2021-07-27 20:00:00,1339124.0,1627416000.0,1.627416060000416e+18,1627416060.0,1.26933,1.26925,1.26923,1.26944,75.0
2021-07-27 20:01:00,1339125.0,1627416060.0,1.6274161200405496e+18,1627416120.0,1.26927,1.26919,1.26915,1.26929,51.0
2021-07-27 20:02:00,1339126.0,1627416120.0,1.6274161800016192e+18,1627416180.0,1.26919,1.2691,1.26907,1.2692,41.0
2021-07-27 20:03:00,1339127.0,1627416180.0,1.627416240034607e+18,1627416240.0,1.26911,1.26915,1.26909,1.26921,35.0
2021-07-27 20:04:00,1339128.0,1627416240.0,1.6274163000147569e+18,1627416300.0,1.26915,1.26917,1.26914,1.26921,33.0
2021-07-27 20:05:00,1339129.0,1627416300.0,1.627416360041643e+18,1627416360.0,1.26916,1.26915,1.26913,1.26924,30.0
2021-07-27 20:06:00,1339130.0,1627416360.0,1.6274164200050995e+18,1627416420.0,1.26914,1.26909,1.26907,1.26915,28.0
2021-07-27 20:07:00,1339131.0,1627416420.0,1.6274164800233953e+18,1627416480.0,1.26909,1.26899,1.26897,1.26915,19.0
2021-07-27 20:08:00,1339132.0,1627416480.0,1.6274165400025464e+18,1627416540.0,1.26899,1.26898,1.26891,1.26901,24.0
2021-07-27 20:09:00,1339133.0,1627416540.0,1.6274166000048968e+18,1627416600.0,1.26898,1.26895,1.26894,1.26899,28.0
2021-07-27 20:10:00,1339134.0,1627416600.0,1.6274166600437048e+18,1627416660.0,1.26895,1.26923,1.26894,1.26927,42.0
2021-07-27 20:11:00,1339135.0,1627416660.0,1.6274167200483046e+18,1627416720.0,1.26923,1.26915,1.26915,1.26927,32.0
2021-07-27 20:12:00,1339136.0,1627416720.0,1.6274167800483062e+18,1627416780.0,1.26915,1.26915,1.26914,1.26919,12.0
2021-07-27 20:13:00,1339137.0,1627416780.0,1.6274168400011238e+18,1627416840.0,1.26914,1.26917,1.26914,1.26921,47.0
2021-07-27 20:14:00,1339138.0,1627416840.0,1.627416900042837e+18,1627416900.0,1.26915,1.26895,1.26893,1.26915,46.0
2021-07-27 20:15:00,1339139.0,1627416900.0,1.6274169600333857e+18,1627416960.0,1.26897,1.26901,1.26893,1.26901,22.0
2021-07-27 20:16:00,1339140.0,1627416960.0,1.627417020043478e+18,1627417020.0,1.26901,1.26901,1.26899,1.26902,38.0
2021-07-27 20:17:00,1339141.0,1627417020.0,1.6274170800494812e+18,1627417080.0,1.269,1.269,1.26895,1.26909,49.0
2021-07-27 20:18:00,1339142.0,1627417080.0,1.6274171400146678e+18,1627417140.0,1.269,1.26923,1.26899,1.26937,31.0
2021-07-27 20:19:00,1339143.0,1627417140.0,1.6274172000483064e+18,1627417200.0,1.26923,1.26913,1.26913,1.26923,15.0
